row_id,top1,top2,top3,delta_CO2_1,delta_CO2_2,delta_CO2_3,score_1,score_2,score_3
21818,insulation_wall,windows,insulation_roof,206.744356884194,182.271217155815,8.26362519082977,206.744356884194,182.271217155815,8.26362519082977
21819,insulation_wall,insulation_roof,windows,495.977967937639,111.585198592356,80.1315744586846,495.977967937639,111.585198592356,80.1315744586846
21820,insulation_wall,windows,insulation_roof,582.269713724998,219.644836329186,110.7161784899,582.269713724998,219.644836329186,110.7161784899
21821,insulation_roof,insulation_wall,windows,353.47818453236,118.642576443341,47.0136140576124,353.47818453236,118.642576443341,47.0136140576124
21822,windows,insulation_roof,insulation_wall,96.5875127695117,74.0144698510376,64.4142445691978,96.5875127695117,74.0144698510376,64.4142445691978
21823,insulation_roof,windows,insulation_wall,228.45995036995,165.278961153936,141.330619874923,228.45995036995,165.278961153936,141.330619874923
21824,insulation_wall,insulation_roof,windows,150.725069735132,66.2619658024423,65.2020699177047,150.725069735132,66.2619658024423,65.2020699177047
21825,insulation_roof,insulation_wall,windows,388.328492710857,146.565428770391,17.8401383520213,388.328492710857,146.565428770391,17.8401383520213
21826,insulation_roof,windows,insulation_wall,274.912687711122,138.600860630329,32.1312216941069,274.912687711122,138.600860630329,32.1312216941069
21827,insulation_wall,windows,insulation_roof,174.72701065396,142.761739302585,62.5654705289944,174.72701065396,142.761739302585,62.5654705289944
21828,insulation_wall,insulation_roof,windows,331.695553029585,189.496347365004,155.462591683146,331.695553029585,189.496347365004,155.462591683146
21829,insulation_wall,insulation_roof,windows,191.73663609684,56.206402251074,33.3258449829109,191.73663609684,56.206402251074,33.3258449829109
21830,insulation_wall,insulation_roof,windows,1319.68680393989,572.118150481287,136.861774589686,1319.68680393989,572.118150481287,136.861774589686
21831,insulation_wall,windows,insulation_roof,246.527797934175,195.250744100475,0,246.527797934175,195.250744100475,0
21832,insulation_wall,insulation_roof,windows,661.331846875102,269.434578016479,120.334563983377,661.331846875102,269.434578016479,120.334563983377
21833,insulation_wall,windows,insulation_roof,411.394539983012,210.794415999044,93.256779402529,411.394539983012,210.794415999044,93.256779402529
21834,insulation_wall,insulation_roof,windows,239.68139707223,15.4207710950814,0,239.68139707223,15.4207710950814,0
21835,insulation_roof,windows,insulation_wall,155.709810034136,120.058169313903,0,155.709810034136,120.058169313903,0
21836,windows,insulation_wall,insulation_roof,130.967714262982,78.4164662742087,0,130.967714262982,78.4164662742087,0
21837,insulation_wall,windows,insulation_roof,501.209931057997,138.165646775406,112.565107718565,501.209931057997,138.165646775406,112.565107718565
21838,insulation_wall,insulation_roof,windows,333.1668232621,208.869857055981,30.656577737409,333.1668232621,208.869857055981,30.656577737409
21839,windows,insulation_wall,insulation_roof,94.7648645323325,60.6468084188387,43.7602919148217,94.7648645323325,60.6468084188387,43.7602919148217
21840,insulation_roof,windows,insulation_wall,546.281017837657,382.282572406954,274.570108265783,546.281017837657,382.282572406954,274.570108265783
21841,insulation_wall,windows,insulation_roof,289.230050341107,215.482982084262,19.0978683116273,289.230050341107,215.482982084262,19.0978683116273
21842,insulation_roof,insulation_wall,windows,281.222873825579,246.071444673744,91.4245990950822,281.222873825579,246.071444673744,91.4245990950822
21843,insulation_wall,insulation_roof,windows,469.064084647216,37.8265852887025,12.5180903716437,469.064084647216,37.8265852887025,12.5180903716437
21844,insulation_wall,windows,insulation_roof,207.934545145933,49.9145618325401,37.7402820160451,207.934545145933,49.9145618325401,37.7402820160451
21845,insulation_wall,windows,insulation_roof,215.367568234216,61.9047556627083,28.0446344936481,215.367568234216,61.9047556627083,28.0446344936481
21846,windows,insulation_wall,insulation_roof,233.84226822072,178.808490904574,118.260688425391,233.84226822072,178.808490904574,118.260688425391
21847,insulation_wall,windows,insulation_roof,248.276837838019,118.126314574169,6.41169938750772,248.276837838019,118.126314574169,6.41169938750772
21848,insulation_wall,insulation_roof,windows,417.738011292287,204.615325424318,140.228630744912,417.738011292287,204.615325424318,140.228630744912
21849,insulation_wall,windows,insulation_roof,170.131046134785,104.504691275019,36.540986361525,170.131046134785,104.504691275019,36.540986361525
21850,insulation_wall,windows,insulation_roof,193.077519231238,132.551192128713,24.5888573143275,193.077519231238,132.551192128713,24.5888573143275
21851,insulation_roof,insulation_wall,windows,120.590673420584,113.365227888622,52.0428889715076,120.590673420584,113.365227888622,52.0428889715076
21852,insulation_wall,windows,insulation_roof,331.265902737441,191.782203456738,12.1896802938336,331.265902737441,191.782203456738,12.1896802938336
21853,insulation_wall,insulation_roof,windows,111.761666483464,107.900832220053,0,111.761666483464,107.900832220053,0
21854,insulation_wall,windows,insulation_roof,250.316760493068,123.073652306059,0,250.316760493068,123.073652306059,0
21855,windows,insulation_wall,insulation_roof,160.857717256772,144.516652222594,0,160.857717256772,144.516652222594,0
21856,insulation_roof,windows,insulation_wall,414.402201675492,413.984644956328,342.975276660025,414.402201675492,413.984644956328,342.975276660025
21857,windows,insulation_wall,insulation_roof,276.374757345612,145.40705208278,2.4471024190243,276.374757345612,145.40705208278,2.4471024190243
21858,insulation_roof,insulation_wall,windows,29.7065948509935,28.4235383870555,3.32085665967679,29.7065948509935,28.4235383870555,3.32085665967679
21859,insulation_wall,windows,insulation_roof,421.947609759574,184.846585617968,168.055457867598,421.947609759574,184.846585617968,168.055457867598
21860,insulation_roof,insulation_wall,windows,348.460473494737,305.099900483002,72.223310960193,348.460473494737,305.099900483002,72.223310960193
21861,insulation_wall,windows,insulation_roof,357.502337605177,68.8548166834326,33.7558997670694,357.502337605177,68.8548166834326,33.7558997670694
21862,insulation_wall,windows,insulation_roof,286.219422485647,83.0063651812425,49.6161179158589,286.219422485647,83.0063651812425,49.6161179158589
21863,insulation_wall,insulation_roof,windows,249.774599769181,151.921397469759,65.7425123202957,249.774599769181,151.921397469759,65.7425123202957
21864,insulation_wall,windows,insulation_roof,262.192483053021,117.896211560238,27.1744455338185,262.192483053021,117.896211560238,27.1744455338185
21865,insulation_wall,windows,insulation_roof,383.897810931283,109.349821822949,80.028396478212,383.897810931283,109.349821822949,80.028396478212
