County,DwellingTypeDescr,AgeBand,CO2_decile,N
Dublin,Detached house,D,"(9.82e+03,3.55e+04]",19
Cork,Ground-floor apartment,J,"(2.5e+03,3.1e+03]",19
Mayo,Detached house,H,"(7.83e+03,9.82e+03]",19
Waterford,Detached house,I,"(6.56e+03,7.83e+03]",19
Dublin,Ground-floor apartment,H,"(2.5e+03,3.1e+03]",19
Dublin,Ground-floor apartment,H,"[324,2.5e+03]",19
Dublin,Maisonette,I,"(3.1e+03,3.65e+03]",19
Dublin,Mid-terrace house,D,"(5.57e+03,6.56e+03]",19
Kildare,Semi-detached house,K,"(2.5e+03,3.1e+03]",19
Wicklow,Semi-detached house,K,"[324,2.5e+03]",19
Tipperary,Semi-detached house,J,"(3.65e+03,4.22e+03]",19
Kerry,Semi-detached house,J,"(4.78e+03,5.57e+03]",19
Meath,End of terrace house,K,"[324,2.5e+03]",19
Galway,Detached house,J,"(7.83e+03,9.82e+03]",19
Donegal,Detached house,J,"(5.57e+03,6.56e+03]",19
Mayo,Semi-detached house,I,"(5.57e+03,6.56e+03]",19
Cavan,Semi-detached house,J,"(3.65e+03,4.22e+03]",19
Kildare,Semi-detached house,I,"(3.1e+03,3.65e+03]",19
Dublin,Semi-detached house,F,"(3.1e+03,3.65e+03]",19
Dublin,End of terrace house,I,"(2.5e+03,3.1e+03]",19
Dublin,Detached house,I,"(6.56e+03,7.83e+03]",19
Dublin,Detached house,F,"(5.57e+03,6.56e+03]",19
Dublin,Semi-detached house,E,"(5.57e+03,6.56e+03]",18
Dublin,Semi-detached house,D,"(6.56e+03,7.83e+03]",18
Cork,Detached house,E,"(5.57e+03,6.56e+03]",18
Meath,Detached house,E,"(9.82e+03,3.55e+04]",18
Donegal,Detached house,E,"(7.83e+03,9.82e+03]",18
Cork,Detached house,C,"(9.82e+03,3.55e+04]",18
Galway,Detached house,C,"(9.82e+03,3.55e+04]",18
Wexford,Detached house,E,"(9.82e+03,3.55e+04]",18
Cork,Detached house,F,"(5.57e+03,6.56e+03]",18
Galway,Detached house,G,"(6.56e+03,7.83e+03]",18
Wexford,Detached house,H,"(6.56e+03,7.83e+03]",18
Kildare,Detached house,I,"(5.57e+03,6.56e+03]",18
Wexford,Detached house,J,"(5.57e+03,6.56e+03]",18
Mayo,Detached house,I,"(6.56e+03,7.83e+03]",18
Kildare,Detached house,I,"(6.56e+03,7.83e+03]",18
Kerry,Detached house,J,"(5.57e+03,6.56e+03]",18
Kerry,Detached house,H,"(7.83e+03,9.82e+03]",18
Laois,Semi-detached house,J,"(3.65e+03,4.22e+03]",18
Cork,End of terrace house,J,"(3.1e+03,3.65e+03]",18
Galway,Semi-detached house,I,"(4.22e+03,4.78e+03]",18
Donegal,Semi-detached house,I,"(4.22e+03,4.78e+03]",18
Donegal,Semi-detached house,I,"(5.57e+03,6.56e+03]",18
Cork,Semi-detached house,G,"(3.1e+03,3.65e+03]",18
Galway,Semi-detached house,H,"(4.22e+03,4.78e+03]",18
Limerick,Semi-detached house,G,"(5.57e+03,6.56e+03]",18
Kildare,Semi-detached house,H,"(3.65e+03,4.22e+03]",18
Cork,Detached house,J,"(7.83e+03,9.82e+03]",18
Meath,Detached house,I,"(4.78e+03,5.57e+03]",18
Mayo,Detached house,I,"(9.82e+03,3.55e+04]",18
Cork,Mid-terrace house,G,"(2.5e+03,3.1e+03]",18
Dublin,Mid-terrace house,G,"(4.22e+03,4.78e+03]",18
Mayo,Detached house,E,"(7.83e+03,9.82e+03]",17
Louth,Detached house,E,"(9.82e+03,3.55e+04]",17
Kerry,Detached house,E,"(9.82e+03,3.55e+04]",17
Galway,Semi-detached house,G,"(5.57e+03,6.56e+03]",17
Wexford,Detached house,G,"(7.83e+03,9.82e+03]",17
Kerry,Detached house,H,"(5.57e+03,6.56e+03]",17
Tipperary,Detached house,G,"(7.83e+03,9.82e+03]",17
Cork,Detached house,H,"(9.82e+03,3.55e+04]",17
Mayo,Detached house,H,"(6.56e+03,7.83e+03]",17
Dublin,Detached house,G,"(4.78e+03,5.57e+03]",17
Dublin,Detached house,F,"(4.78e+03,5.57e+03]",17
Clare,Detached house,J,"(7.83e+03,9.82e+03]",17
Wicklow,Detached house,I,"(6.56e+03,7.83e+03]",17
Wexford,Detached house,H,"(5.57e+03,6.56e+03]",17
Donegal,Detached house,J,"(7.83e+03,9.82e+03]",17
Meath,Detached house,J,"(4.78e+03,5.57e+03]",17
Dublin,Mid-floor apartment,C,"[324,2.5e+03]",17
Dublin,Top-floor apartment,J,"[324,2.5e+03]",17
