row_id,upgrade,delta_CO2,rank,score
41,insulation_roof,227.933896252305,2,227.933896252305
41,windows,11.0009983557684,3,11.0009983557684
42,insulation_roof,164.209203232655,1,164.209203232655
42,windows,50.1374485170964,2,50.1374485170964
42,insulation_wall,0,3,0
43,insulation_wall,585.496086839732,1,585.496086839732
43,insulation_roof,167.956495397042,2,167.956495397042
43,windows,68.2454333754358,3,68.2454333754358
44,insulation_wall,871.891877254411,1,871.891877254411
44,windows,71.8317128107265,2,71.8317128107265
44,insulation_roof,70.4656247640087,3,70.4656247640087
45,insulation_roof,85.3812080752896,1,85.3812080752896
45,insulation_wall,66.578814505865,2,66.578814505865
45,windows,0.439812020201316,3,0.439812020201316
46,insulation_roof,109.941249533034,1,109.941249533034
46,insulation_wall,74.8964824422965,2,74.8964824422965
46,windows,8.90975729729598,3,8.90975729729598
47,insulation_wall,188.316429807077,1,188.316429807077
47,insulation_roof,61.9382712247816,2,61.9382712247816
47,windows,0,3,0
48,insulation_wall,452.906984994224,1,452.906984994224
48,insulation_roof,325.342134240354,2,325.342134240354
48,windows,25.1359138504286,3,25.1359138504286
49,insulation_wall,373.890459694322,1,373.890459694322
49,insulation_roof,200.470495835148,2,200.470495835148
49,windows,48.4715831481635,3,48.4715831481635
50,insulation_wall,570.919484132005,1,570.919484132005
50,insulation_roof,99.7228265335752,2,99.7228265335752
50,windows,46.474851968047,3,46.474851968047
51,insulation_wall,1724.6102985697,1,1724.6102985697
51,insulation_roof,697.432905350554,2,697.432905350554
51,heating_efficiency,7.27595761418343e-12,3,7.27595761418343e-12
52,insulation_wall,397.030941109941,1,397.030941109941
52,insulation_roof,67.9473958540166,2,67.9473958540166
52,windows,0,3,0
53,insulation_wall,381.899956803493,1,381.899956803493
53,insulation_roof,184.796194525254,2,184.796194525254
53,windows,4.47297764833093,3,4.47297764833093
54,insulation_roof,42.5689143255195,1,42.5689143255195
54,insulation_wall,8.68075167179995,2,8.68075167179995
54,windows,1.65249442005734,3,1.65249442005734
55,insulation_wall,454.746400510719,1,454.746400510719
55,insulation_roof,21.2743467366918,2,21.2743467366918
55,windows,0,3,0
56,insulation_wall,80.6183331862822,1,80.6183331862822
56,insulation_roof,80.0374828197846,2,80.0374828197846
56,windows,17.8336432604701,3,17.8336432604701
57,insulation_wall,321.450963306098,1,321.450963306098
57,insulation_roof,272.476675392268,2,272.476675392268
57,windows,41.0971786042856,3,41.0971786042856
